GrantNumber,OutputId,Event,Date,Place,TargetGroup,Type,Url
156533,01289E14-A6D7-4571-BA09-F5D23E1AB68C,Immer wieder? Künstlerische Praktiken der Wiederholung,2016-11-10,"Zürich, Switzerland",Other administration / public sector,Workshop,nan
156533,1700730A-E130-47D9-BAA3-FD46BEFB76A8,Stimmlos 2: zu Horizontales Paradies,2016-05-07,"München, Germany",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
143522,8C33DD54-BD1D-44B0-ACFA-40178C7F6F4F,Forschungstag der PH FHNW: Schulische Norm und der Umgang mit Differenz,2014-11-28,"Basel, Switzerland",Other administration / public sector,Talk,nan
143522,E731EB4C-D3F6-41C2-811C-4532B7B65CC5,Forschungstag der PH FHNW: Fachliches und überfachliches Lernen und Lehren,2013-11-29,"Basel, Switzerland",Other administration / public sector,Talk,nan
144517,1B180C12-46DA-4A17-971A-E34F6B1118BE,X-RAY ABSORPTION SPECTROSCOPY (lecture),2013-04-17,"Imperial College, London, Great Britain and Northern Ireland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
172723,80FA427E-484F-4832-8705-A74570593E0C,Kongress Beatenberg 2019: Bildung und Erziehung,2019-05-24,"Beatenberg, Switzerland",Other administration / public sector,Talk,https://www.ifwb.ch/kongressview/positive-psychologie-gut-geschaut-ist-halb-gewonnen/
172723,A280258F-EF95-40AC-8F0D-3C86792FF4FA,11. Workshopkongress und 37. Symposium der Fachgruppe Klinische Psychologie und Psychotherapie der DGPs,2019-05-31,"Erlangen, Germany",Industry / private companies,Talk,nan
172723,CF4745E3-37D4-4334-B4E2-C04608DEB04D,2. VIA-Anwendertag zur Erfassung von Charakterstärken 2020,2020-10-09,"Zürich, Switzerland",Industry / private companies,Workshop,nan
172723,5F770861-73D4-473C-A2A0-FCBAD3DBBE50,SWIPPA-Fachtagung 2020,2020-11-27,"online, Switzerland",Industry / private companies,Poster,nan
172723,76C26635-2723-4113-A39C-07A64436CB32,SWIPPA-Fachtagung 2019,2019-11-29,"Bern, Switzerland",Industry / private companies,Talk,nan
134892,24F78B76-5FBA-4517-8D14-3F5F2B374CBA,EGU 2012,2012-04-22,"Vienne Autriche, Austria",Other foundations / NGOs,nan,http://www.egu2012.eu/
170153,C79EB2D7-1451-469D-80EB-E1F5E1B844CA,Cold Spring Harbor meeting: Systems Biology - Global Regulation of Gene Expression,2018-03-20,"Cold Spring Harbor Laboratory, United States of America",Other administration / public sector,Talk,nan
170153,70479F2F-759B-4A68-8C96-E24B00480006,"Cold Spring Harbor meeting on ""Mechanisms of Eukaryotic Transcription""",2017-08-29,"Cold Spring Harbor Laboratory, United States of America",Other administration / public sector,Talk,nan
170153,53A8C909-4220-4A3B-9A52-E4DB9BEAAC9E,EMBO Conference of Gene Transcription in yeast,2018-06-09,"San Feliu de Guixols, Spain",Other administration / public sector,Talk,nan
135055,9A1EDF7C-F658-41A5-8AE2-FED5946F6170,"Metelen ohne Billunger – Hauskloster ohne Haus. Zur Beschreibung der frühmittelalterlichen Frauenkonvente Sachsens ohne ""Geschlecht"" und ""Adelshaus""",2014-03-26,"Metelen, Germany",Other administration / public sector,Talk,http://agenda21.kreis-steinfurt.de/C12574240047C747/html/3390E943C1AAC6BAC12579D6002C0592?opendocument
169177,32B260A4-4710-47E6-887A-C11B1D5C0C28,Generalversammlung Schwyzerische Naturforschende Gesellschaft SzNG,2018-02-03,"Einsiedeln, Switzerland",Other administration / public sector,Talk,https://naturwissenschaften.ch/service/leisure/97377-generalversammlung-schwyzerische-naturforschende-gesellschaft-szng
140958,262B8EBB-DB56-4AC8-964D-AB39CDB456E6,"Scientific Symposium on Nuclear Magnetic Resonance - ""Clinical Routine  MRS in the Neuroradiology""",2013-03-07,"Leuven, Belgium",Other foundations / NGOs,Workshop,http://www.transact-itn.eu/index.php/events/meetings/8-news/22-test
166412,D8834025-C003-4781-B5B0-F75FD1494C97,"Journée d’actualisation des connaissances VIH, CHUV",2018-12-12,"Lausanne, Switzerland",Other administration / public sector,Talk,nan
122499,BC60F1C4-4D6E-4C5A-A647-80ABE9C49C0A,SIZ Care Forum Zürich,2011-09-09,"Zürich, Schweiz, Switzerland",Industry / private companies,Talk,http://www.sizcare.ch/de/veranstaltungen/2011.html#c1628
122499,CB90A39F-C2DF-442C-9B51-3F9ED75D3F6F,Gesundheitsligenkonferenz GELIKO,2012-04-18,"Bern, Schweiz, Switzerland",Industry / private companies,Talk,nan
122499,43ED759B-9842-4FEB-BBA5-6B5F0DFAD167,Fortbildungsveranstaltung asim,2012-08-17,"Basel, Schweiz, Switzerland",Industry / private companies,Talk,http://www.asim.unibas.ch/index.cfm?3292FB64D9D9424C4C74CD61CA544AEA
122499,8811906B-146D-45C3-9542-67E96DCCCD81,Tagung des Schweizerisches Gewerkschaftsbundes,2010-09-16,"Bern, Schweiz, Switzerland",Industry / private companies,Talk,http://project.zhaw.ch/fileadmin/user_upload/W/non_discrimination/Startseite/Vortr%C3%A4ge/K%C3%BCndigungstagung_Folien_Referat_P%C3%A4rli.pdf
160405,F52B2505-0EA6-4196-9511-A4094DED3DCC,"Stakeholder Workshop in Nairobi (administration, academia, donors)",2015-09-17,"Nairobi, Kenya",Other administration / public sector,Self-organised,nan
160405,1BD6246C-C24F-455E-8592-05A283A2D53C,Landkäufe im Süden – Landgrabbing oder ein Beitrag zur Entwicklung?,2015-11-26,"Bern, Seminar Muristalden, Switzerland",Other administration / public sector,Talk,nan
160405,1F6C5883-A6D1-4D75-B79D-2BC6C2FC726A,Land and Poverty Conference World Bank.,2019-03-26,"Washington, United States of America",Other administration / public sector,Workshop,nan
175816,DAABC43F-4782-4AEF-922F-A500728A2086,Forschungskolloquium der PH Zürich,2021-05-25,"Zürich, Switzerland",Other administration / public sector,Talk,nan
134829,75779978-A656-432E-B626-C1D8A2E89044,Swiss NanoConvention,2013-05-23,"Basel, Switzerland",Industry / private companies,nan,nan
141053,4793E66F-66B1-4109-8E6D-FF5824B0AF11,"Kantonsschule Wiedikon, Zürich",2014-03-10,"Zürich, Switzerland",Other administration / public sector,Talk,nan
172684,B1AFCF84-5CDE-41BC-8F15-062766E58DF1,Invitational Choice Symposium,2019-05-30,"Cambridge, United States of America",Industry / private companies,Talk,http://www.choicesymposium.org/
172684,9D320981-5FE5-47B4-AF22-A794448216C0,GfK Marketing Intelligence (The Connected Consumer),2018-10-25,"Nürnberg, Germany",Industry / private companies,Talk,nan
